row_id,thought_text,window_size_seconds,model_name,similarity_score,video_embedding_source,scoring_status,scoring_message,clip_path
e0a7eff9-8dda-447c-9cf2-260367d97120,Why is this on youtube?? also how does this annotation thing work?_x000D_,5,clip,0.2424694001674652,cache,scored,,C:\PRARTHNA\UNI\2026 S1\ICT Capstone\ICT-Capstone\vivian-project-main\agent1_data_preparation\output\clips\5s\row_e0a7eff9-8dda-447c-9cf2-260367d97120_video_DNA_replication_1_t_12000_w_5.mp4
e0a7eff9-8dda-447c-9cf2-260367d97120,Why is this on youtube?? also how does this annotation thing work?_x000D_,10,clip,0.24461442232131958,cache,scored,,C:\PRARTHNA\UNI\2026 S1\ICT Capstone\ICT-Capstone\vivian-project-main\agent1_data_preparation\output\clips\10s\row_e0a7eff9-8dda-447c-9cf2-260367d97120_video_DNA_replication_1_t_12000_w_10.mp4
e0a7eff9-8dda-447c-9cf2-260367d97120,Why is this on youtube?? also how does this annotation thing work?_x000D_,15,clip,0.25569912791252136,cache,scored,,C:\PRARTHNA\UNI\2026 S1\ICT Capstone\ICT-Capstone\vivian-project-main\agent1_data_preparation\output\clips\15s\row_e0a7eff9-8dda-447c-9cf2-260367d97120_video_DNA_replication_1_t_12000_w_15.mp4
e0a7eff9-8dda-447c-9cf2-260367d97120,My family are being really loud and I&#039;m considering putting headphones on or telling them to shush,5,clip,0.13951970636844635,cache,scored,,C:\PRARTHNA\UNI\2026 S1\ICT Capstone\ICT-Capstone\vivian-project-main\agent1_data_preparation\output\clips\5s\row_e0a7eff9-8dda-447c-9cf2-260367d97120_video_DNA_replication_1_t_246000_w_5.mp4
e0a7eff9-8dda-447c-9cf2-260367d97120,My family are being really loud and I&#039;m considering putting headphones on or telling them to shush,10,clip,0.13877449929714203,cache,scored,,C:\PRARTHNA\UNI\2026 S1\ICT Capstone\ICT-Capstone\vivian-project-main\agent1_data_preparation\output\clips\10s\row_e0a7eff9-8dda-447c-9cf2-260367d97120_video_DNA_replication_1_t_246000_w_10.mp4
e0a7eff9-8dda-447c-9cf2-260367d97120,My family are being really loud and I&#039;m considering putting headphones on or telling them to shush,15,clip,0.13941074907779694,cache,scored,,C:\PRARTHNA\UNI\2026 S1\ICT Capstone\ICT-Capstone\vivian-project-main\agent1_data_preparation\output\clips\15s\row_e0a7eff9-8dda-447c-9cf2-260367d97120_video_DNA_replication_1_t_246000_w_15.mp4
e0a7eff9-8dda-447c-9cf2-260367d97120,"Plane flew overhead, had to pause video so I wouldn&#039;t miss anything",5,clip,0.18897123634815216,cache,scored,,C:\PRARTHNA\UNI\2026 S1\ICT Capstone\ICT-Capstone\vivian-project-main\agent1_data_preparation\output\clips\5s\row_e0a7eff9-8dda-447c-9cf2-260367d97120_video_DNA_replication_1_t_375000_w_5.mp4
e0a7eff9-8dda-447c-9cf2-260367d97120,"Plane flew overhead, had to pause video so I wouldn&#039;t miss anything",10,clip,0.1877315491437912,cache,scored,,C:\PRARTHNA\UNI\2026 S1\ICT Capstone\ICT-Capstone\vivian-project-main\agent1_data_preparation\output\clips\10s\row_e0a7eff9-8dda-447c-9cf2-260367d97120_video_DNA_replication_1_t_375000_w_10.mp4
e0a7eff9-8dda-447c-9cf2-260367d97120,"Plane flew overhead, had to pause video so I wouldn&#039;t miss anything",15,clip,0.18647071719169617,cache,scored,,C:\PRARTHNA\UNI\2026 S1\ICT Capstone\ICT-Capstone\vivian-project-main\agent1_data_preparation\output\clips\15s\row_e0a7eff9-8dda-447c-9cf2-260367d97120_video_DNA_replication_1_t_375000_w_15.mp4
51a06c03-1fec-4f6d-9ba5-83e44601d4c4,how much longer is the video,5,clip,0.16513000428676605,cache,scored,,C:\PRARTHNA\UNI\2026 S1\ICT Capstone\ICT-Capstone\vivian-project-main\agent1_data_preparation\output\clips\5s\row_51a06c03-1fec-4f6d-9ba5-83e44601d4c4_video_DNA_replication_1_t_178000_w_5.mp4
51a06c03-1fec-4f6d-9ba5-83e44601d4c4,how much longer is the video,10,clip,0.165696918964386,cache,scored,,C:\PRARTHNA\UNI\2026 S1\ICT Capstone\ICT-Capstone\vivian-project-main\agent1_data_preparation\output\clips\10s\row_51a06c03-1fec-4f6d-9ba5-83e44601d4c4_video_DNA_replication_1_t_178000_w_10.mp4
51a06c03-1fec-4f6d-9ba5-83e44601d4c4,how much longer is the video,15,clip,0.16578513383865356,cache,scored,,C:\PRARTHNA\UNI\2026 S1\ICT Capstone\ICT-Capstone\vivian-project-main\agent1_data_preparation\output\clips\15s\row_51a06c03-1fec-4f6d-9ba5-83e44601d4c4_video_DNA_replication_1_t_178000_w_15.mp4
53426e2b-e423-4cd1-b836-4c6cbd2e2063,Thinking about dinner,5,clip,0.13238219916820526,cache,scored,,C:\PRARTHNA\UNI\2026 S1\ICT Capstone\ICT-Capstone\vivian-project-main\agent1_data_preparation\output\clips\5s\row_53426e2b-e423-4cd1-b836-4c6cbd2e2063_video_DNA_replication_1_t_98000_w_5.mp4
53426e2b-e423-4cd1-b836-4c6cbd2e2063,Thinking about dinner,10,clip,0.13193446397781372,cache,scored,,C:\PRARTHNA\UNI\2026 S1\ICT Capstone\ICT-Capstone\vivian-project-main\agent1_data_preparation\output\clips\10s\row_53426e2b-e423-4cd1-b836-4c6cbd2e2063_video_DNA_replication_1_t_98000_w_10.mp4
53426e2b-e423-4cd1-b836-4c6cbd2e2063,Thinking about dinner,15,clip,0.13049352169036865,cache,scored,,C:\PRARTHNA\UNI\2026 S1\ICT Capstone\ICT-Capstone\vivian-project-main\agent1_data_preparation\output\clips\15s\row_53426e2b-e423-4cd1-b836-4c6cbd2e2063_video_DNA_replication_1_t_98000_w_15.mp4
53426e2b-e423-4cd1-b836-4c6cbd2e2063,Thinking about other assignments that still need to be completed,5,clip,0.18231894075870514,cache,scored,,C:\PRARTHNA\UNI\2026 S1\ICT Capstone\ICT-Capstone\vivian-project-main\agent1_data_preparation\output\clips\5s\row_53426e2b-e423-4cd1-b836-4c6cbd2e2063_video_DNA_replication_1_t_343000_w_5.mp4
53426e2b-e423-4cd1-b836-4c6cbd2e2063,Thinking about other assignments that still need to be completed,10,clip,0.18259885907173157,cache,scored,,C:\PRARTHNA\UNI\2026 S1\ICT Capstone\ICT-Capstone\vivian-project-main\agent1_data_preparation\output\clips\10s\row_53426e2b-e423-4cd1-b836-4c6cbd2e2063_video_DNA_replication_1_t_343000_w_10.mp4
53426e2b-e423-4cd1-b836-4c6cbd2e2063,Thinking about other assignments that still need to be completed,15,clip,0.18154376745224,cache,scored,,C:\PRARTHNA\UNI\2026 S1\ICT Capstone\ICT-Capstone\vivian-project-main\agent1_data_preparation\output\clips\15s\row_53426e2b-e423-4cd1-b836-4c6cbd2e2063_video_DNA_replication_1_t_343000_w_15.mp4
53426e2b-e423-4cd1-b836-4c6cbd2e2063,Zoned out and had to rewind video,5,clip,0.1789395660161972,cache,scored,,C:\PRARTHNA\UNI\2026 S1\ICT Capstone\ICT-Capstone\vivian-project-main\agent1_data_preparation\output\clips\5s\row_53426e2b-e423-4cd1-b836-4c6cbd2e2063_video_DNA_replication_1_t_419000_w_5.mp4
53426e2b-e423-4cd1-b836-4c6cbd2e2063,Zoned out and had to rewind video,10,clip,0.17918430268764496,cache,scored,,C:\PRARTHNA\UNI\2026 S1\ICT Capstone\ICT-Capstone\vivian-project-main\agent1_data_preparation\output\clips\10s\row_53426e2b-e423-4cd1-b836-4c6cbd2e2063_video_DNA_replication_1_t_419000_w_10.mp4
53426e2b-e423-4cd1-b836-4c6cbd2e2063,Zoned out and had to rewind video,15,clip,0.17885823547840118,cache,scored,,C:\PRARTHNA\UNI\2026 S1\ICT Capstone\ICT-Capstone\vivian-project-main\agent1_data_preparation\output\clips\15s\row_53426e2b-e423-4cd1-b836-4c6cbd2e2063_video_DNA_replication_1_t_419000_w_15.mp4
4e973aa2-34b5-4a98-b553-44c0930d12b9,Is there a train behind the background?,5,clip,0.13101331889629364,cache,scored,,C:\PRARTHNA\UNI\2026 S1\ICT Capstone\ICT-Capstone\vivian-project-main\agent1_data_preparation\output\clips\5s\row_4e973aa2-34b5-4a98-b553-44c0930d12b9_video_Checking_Normality_t_409000_w_5.mp4
