row_id,video_group,source_video_file,source_video_path,thought_text,original_timestamp,timestamp_seconds,window_size_seconds,clip_start_seconds,clip_end_seconds,clip_path,clip_exists,clip_extraction_mode,expected_clip_duration_seconds,actual_clip_duration_seconds,duration_within_tolerance,playback_valid,used_fallback,debug_frame_path,validation_status,validation_message
e0a7eff9-8dda-447c-9cf2-260367d97120,Video 2,DNA_replication_1.mp4,C:\PRARTHNA\UNI\2026 S1\ICT Capstone\ICT-Capstone\vivian-project-main\Video 2\DNA_replication_1.mp4,Why is this on youtube?? also how does this annotation thing work?_x000D_,12,12.0,5,7.0,12.0,C:\PRARTHNA\UNI\2026 S1\ICT Capstone\ICT-Capstone\vivian-project-main\agent1_data_preparation\output\clips\5s\row_e0a7eff9-8dda-447c-9cf2-260367d97120_video_DNA_replication_1_t_12000_w_5.mp4,True,accurate_mode,5.0,5.034001,True,True,False,,valid,
e0a7eff9-8dda-447c-9cf2-260367d97120,Video 2,DNA_replication_1.mp4,C:\PRARTHNA\UNI\2026 S1\ICT Capstone\ICT-Capstone\vivian-project-main\Video 2\DNA_replication_1.mp4,Why is this on youtube?? also how does this annotation thing work?_x000D_,12,12.0,10,2.0,12.0,C:\PRARTHNA\UNI\2026 S1\ICT Capstone\ICT-Capstone\vivian-project-main\agent1_data_preparation\output\clips\10s\row_e0a7eff9-8dda-447c-9cf2-260367d97120_video_DNA_replication_1_t_12000_w_10.mp4,True,accurate_mode,10.0,10.04499,True,True,False,,valid,
e0a7eff9-8dda-447c-9cf2-260367d97120,Video 2,DNA_replication_1.mp4,C:\PRARTHNA\UNI\2026 S1\ICT Capstone\ICT-Capstone\vivian-project-main\Video 2\DNA_replication_1.mp4,Why is this on youtube?? also how does this annotation thing work?_x000D_,12,12.0,15,0.0,12.0,C:\PRARTHNA\UNI\2026 S1\ICT Capstone\ICT-Capstone\vivian-project-main\agent1_data_preparation\output\clips\15s\row_e0a7eff9-8dda-447c-9cf2-260367d97120_video_DNA_replication_1_t_12000_w_15.mp4,True,accurate_mode,12.0,12.02322,True,True,False,,valid,
e0a7eff9-8dda-447c-9cf2-260367d97120,Video 2,DNA_replication_1.mp4,C:\PRARTHNA\UNI\2026 S1\ICT Capstone\ICT-Capstone\vivian-project-main\Video 2\DNA_replication_1.mp4,My family are being really loud and I&#039;m considering putting headphones on or telling them to shush,246,246.0,5,241.0,246.0,C:\PRARTHNA\UNI\2026 S1\ICT Capstone\ICT-Capstone\vivian-project-main\agent1_data_preparation\output\clips\5s\row_e0a7eff9-8dda-447c-9cf2-260367d97120_video_DNA_replication_1_t_246000_w_5.mp4,True,accurate_mode,5.0,5.034001,True,True,False,,valid,
e0a7eff9-8dda-447c-9cf2-260367d97120,Video 2,DNA_replication_1.mp4,C:\PRARTHNA\UNI\2026 S1\ICT Capstone\ICT-Capstone\vivian-project-main\Video 2\DNA_replication_1.mp4,My family are being really loud and I&#039;m considering putting headphones on or telling them to shush,246,246.0,10,236.0,246.0,C:\PRARTHNA\UNI\2026 S1\ICT Capstone\ICT-Capstone\vivian-project-main\agent1_data_preparation\output\clips\10s\row_e0a7eff9-8dda-447c-9cf2-260367d97120_video_DNA_replication_1_t_246000_w_10.mp4,True,accurate_mode,10.0,10.044955,True,True,False,,valid,
e0a7eff9-8dda-447c-9cf2-260367d97120,Video 2,DNA_replication_1.mp4,C:\PRARTHNA\UNI\2026 S1\ICT Capstone\ICT-Capstone\vivian-project-main\Video 2\DNA_replication_1.mp4,My family are being really loud and I&#039;m considering putting headphones on or telling them to shush,246,246.0,15,231.0,246.0,C:\PRARTHNA\UNI\2026 S1\ICT Capstone\ICT-Capstone\vivian-project-main\agent1_data_preparation\output\clips\15s\row_e0a7eff9-8dda-447c-9cf2-260367d97120_video_DNA_replication_1_t_246000_w_15.mp4,True,accurate_mode,15.0,15.02322,True,True,False,,valid,
e0a7eff9-8dda-447c-9cf2-260367d97120,Video 2,DNA_replication_1.mp4,C:\PRARTHNA\UNI\2026 S1\ICT Capstone\ICT-Capstone\vivian-project-main\Video 2\DNA_replication_1.mp4,"Plane flew overhead, had to pause video so I wouldn&#039;t miss anything",375,375.0,5,370.0,375.0,C:\PRARTHNA\UNI\2026 S1\ICT Capstone\ICT-Capstone\vivian-project-main\agent1_data_preparation\output\clips\5s\row_e0a7eff9-8dda-447c-9cf2-260367d97120_video_DNA_replication_1_t_375000_w_5.mp4,True,accurate_mode,5.0,5.034001,True,True,False,,valid,
e0a7eff9-8dda-447c-9cf2-260367d97120,Video 2,DNA_replication_1.mp4,C:\PRARTHNA\UNI\2026 S1\ICT Capstone\ICT-Capstone\vivian-project-main\Video 2\DNA_replication_1.mp4,"Plane flew overhead, had to pause video so I wouldn&#039;t miss anything",375,375.0,10,365.0,375.0,C:\PRARTHNA\UNI\2026 S1\ICT Capstone\ICT-Capstone\vivian-project-main\agent1_data_preparation\output\clips\10s\row_e0a7eff9-8dda-447c-9cf2-260367d97120_video_DNA_replication_1_t_375000_w_10.mp4,True,accurate_mode,10.0,10.04499,True,True,False,,valid,
e0a7eff9-8dda-447c-9cf2-260367d97120,Video 2,DNA_replication_1.mp4,C:\PRARTHNA\UNI\2026 S1\ICT Capstone\ICT-Capstone\vivian-project-main\Video 2\DNA_replication_1.mp4,"Plane flew overhead, had to pause video so I wouldn&#039;t miss anything",375,375.0,15,360.0,375.0,C:\PRARTHNA\UNI\2026 S1\ICT Capstone\ICT-Capstone\vivian-project-main\agent1_data_preparation\output\clips\15s\row_e0a7eff9-8dda-447c-9cf2-260367d97120_video_DNA_replication_1_t_375000_w_15.mp4,True,accurate_mode,15.0,15.055944,True,True,False,,valid,
51a06c03-1fec-4f6d-9ba5-83e44601d4c4,Video 2,DNA_replication_1.mp4,C:\PRARTHNA\UNI\2026 S1\ICT Capstone\ICT-Capstone\vivian-project-main\Video 2\DNA_replication_1.mp4,how much longer is the video,178,178.0,5,173.0,178.0,C:\PRARTHNA\UNI\2026 S1\ICT Capstone\ICT-Capstone\vivian-project-main\agent1_data_preparation\output\clips\5s\row_51a06c03-1fec-4f6d-9ba5-83e44601d4c4_video_DNA_replication_1_t_178000_w_5.mp4,True,accurate_mode,5.0,5.033966,True,True,False,,valid,
